"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 10:06:06 GMT 2022","Thu Oct 27 10:06:09 GMT 2022","2925","","Cash Converters Tests","","Cash Converters Tests","displays the Cash Converters logo","displays the Cash Converters logo",""
"passed","Thu Oct 27 10:06:01 GMT 2022","Thu Oct 27 10:06:05 GMT 2022","3149","","AV Production Tests","","AV Production Tests","displays the AV logo [Production]","displays the AV logo [Production]",""
"passed","Thu Oct 27 10:06:30 GMT 2022","Thu Oct 27 10:06:33 GMT 2022","2631","","Normans Music Tests","","Normans Music Tests","displays the Normans Music logo","displays the Normans Music logo",""
"passed","Thu Oct 27 10:06:20 GMT 2022","Thu Oct 27 10:06:23 GMT 2022","3232","","GuitarGuitar Tests","","GuitarGuitar Tests","displays the GuitarGuitar logo","displays the GuitarGuitar logo",""
"passed","Thu Oct 27 10:06:14 GMT 2022","Thu Oct 27 10:06:15 GMT 2022","1472","","eBay Tests","","eBay Tests","displays the eBay logo","displays the eBay logo",""
"passed","Thu Oct 27 10:06:17 GMT 2022","Thu Oct 27 10:06:19 GMT 2022","1581","","G4M Production Tests","","G4M Production Tests","displays the G4m logo [Production]","displays the G4m logo [Production]",""
"passed","Thu Oct 27 10:06:34 GMT 2022","Thu Oct 27 10:06:38 GMT 2022","3862","","PMT Tests","","PMT Tests","displays the PMT logo","displays the PMT logo",""
"passed","Thu Oct 27 10:06:25 GMT 2022","Thu Oct 27 10:06:29 GMT 2022","3567","","HMV Tests","","HMV Tests","displays the HMV logo","displays the HMV logo",""
"passed","Thu Oct 27 10:06:11 GMT 2022","Thu Oct 27 10:06:12 GMT 2022","1652","","Curly Music Tests","","Curly Music Tests","displays the Curly Music logo","displays the Curly Music logo",""
